epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5538,1.64294,3.67925,1.29907,0.00882,0.10714,0.05006,0.03166,1.69729,3.24856,1.02679,0,0,0
2,28.0575,1.75667,3.84485,1.42367,0.00904,0.10714,0.05494,0.0344,1.68426,3.22852,1.02934,1.37241e-05,1.37241e-05,1.37241e-05
3,28.6212,1.81297,3.83336,1.28968,0.00882,0.10714,0.0344,0.02062,1.65381,3.20798,1.02717,2.63165e-05,2.63165e-05,2.63165e-05
4,29.1123,1.50334,3.84066,1.18614,0.00882,0.10714,0.03372,0.02207,1.5917,3.21868,1.01467,3.7777e-05,3.7777e-05,3.7777e-05
5,29.6085,1.64705,3.71027,1.3111,0.00882,0.10714,0.03983,0.02438,1.58324,3.20236,1.03985,4.81059e-05,4.81059e-05,4.81059e-05
6,30.1477,1.39335,3.7046,1.31036,0.00904,0.10714,0.03479,0.02296,1.56562,3.19173,1.03661,5.73029e-05,5.73029e-05,5.73029e-05
7,30.6831,1.29241,3.62901,1.35958,0.00893,0.10714,0.05744,0.03917,1.64017,3.21122,1.04759,6.53682e-05,6.53682e-05,6.53682e-05
8,31.3462,1.55682,3.45662,1.38982,0.00904,0.10714,0.05832,0.03866,1.69901,3.21709,1.10829,7.23017e-05,7.23017e-05,7.23017e-05
9,31.9712,1.56624,3.50788,1.27827,0.00909,0.10714,0.06165,0.04115,1.63538,3.22332,1.07862,7.81034e-05,7.81034e-05,7.81034e-05
10,32.569,1.32956,3.51962,1.04772,0.00867,0.10714,0.06149,0.04191,1.56227,3.20753,1.07246,8.27734e-05,8.27734e-05,8.27734e-05
11,33.2351,1.48629,3.35097,1.16435,0.00857,0.10714,0.06313,0.04196,1.47228,3.1726,1.06543,8.63116e-05,8.63116e-05,8.63116e-05
12,33.9335,1.50661,3.23038,1.20506,0.0082,0.10714,0.06405,0.04645,1.42135,3.17766,1.03652,8.8718e-05,8.8718e-05,8.8718e-05
13,34.685,1.24502,3.0341,1.14411,0.00789,0.10714,0.0706,0.046,1.41843,3.17533,1.02946,8.99927e-05,8.99927e-05,8.99927e-05
14,35.6934,1.37757,3.09501,1.10187,0.00773,0.10714,0.07553,0.04688,1.43651,3.16973,1.02982,9.01356e-05,9.01356e-05,9.01356e-05
15,36.7478,1.41504,2.89181,1.11621,0.00746,0.10714,0.07543,0.05042,1.42701,3.16112,1.02289,8.91467e-05,8.91467e-05,8.91467e-05
16,40.0382,1.53584,2.93964,1.1374,0.00735,0.10714,0.05458,0.04866,1.42495,3.14131,1.03676,8.70261e-05,8.70261e-05,8.70261e-05
17,41.0698,1.53179,2.63987,1.14673,0.00711,0.10714,0.06046,0.05096,1.43471,3.13691,1.03782,8.37737e-05,8.37737e-05,8.37737e-05
18,41.6731,1.50279,2.54222,1.14259,0.00711,0.10714,0.06046,0.05096,1.43471,3.13691,1.03782,7.93895e-05,7.93895e-05,7.93895e-05
19,42.2809,1.42863,2.42096,1.09476,0.00698,0.10714,0.0568,0.04782,1.4523,3.12994,1.0374,7.38736e-05,7.38736e-05,7.38736e-05
20,42.7326,1.49236,2.55537,1.0561,0.00698,0.10714,0.0568,0.04782,1.4523,3.12994,1.0374,6.72259e-05,6.72259e-05,6.72259e-05
21,43.2529,1.51843,2.54137,1.14369,0.00691,0.10714,0.05976,0.04907,1.42106,3.10794,1.03265,5.94464e-05,5.94464e-05,5.94464e-05
22,44.7289,1.4627,2.45212,1.09222,0.00691,0.10714,0.05976,0.04907,1.42106,3.10794,1.03265,5.05352e-05,5.05352e-05,5.05352e-05
23,45.4505,1.42423,2.41301,1.08778,0.00691,0.10714,0.07521,0.05218,1.42844,3.1046,1.02607,4.04921e-05,4.04921e-05,4.04921e-05
24,45.9756,1.42977,2.37179,1.04366,0.00691,0.10714,0.07521,0.05218,1.42844,3.1046,1.02607,2.93174e-05,2.93174e-05,2.93174e-05
25,46.5679,1.44931,2.33513,1.09941,0.00714,0.10714,0.06597,0.05303,1.41365,3.09527,1.01783,1.70108e-05,1.70108e-05,1.70108e-05
