epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,14.3358,1.17251,2.14792,1.5451,1.30913,0.68728,0.6,0.77645,0.48351,0.68728,0.6,0.7675,0.46294,1.58408,2.65554,1.58445,1.36368,2.35417e-05,2.35417e-05,2.35417e-05
29,14.884,1.08497,2.33982,1.63016,1.38701,0.7032,0.6,0.77447,0.49258,0.6966,0.6,0.76674,0.46278,1.59098,2.6397,1.60985,1.36777,2.40837e-05,2.40837e-05,2.40837e-05
30,15.2888,0.65464,1.93297,1.747,1.23084,0.7032,0.6,0.77447,0.49258,0.6966,0.6,0.76674,0.46278,1.59098,2.6397,1.60985,1.36777,2.46022e-05,2.46022e-05,2.46022e-05
31,15.7485,0.87969,1.82915,1.56673,1.22234,0.73721,0.43333,0.7428,0.47192,0.67849,0.51667,0.61102,0.4458,1.59379,2.64316,1.63842,1.36066,2.50971e-05,2.50971e-05,2.50971e-05
32,16.1587,0.73696,2.2481,1.70696,1.11161,0.73721,0.43333,0.7428,0.47192,0.67849,0.51667,0.61102,0.4458,1.59379,2.64316,1.63842,1.36066,2.55685e-05,2.55685e-05,2.55685e-05
33,16.5679,0.75357,1.80572,1.25256,1.14207,0.83318,0.41667,0.74249,0.47934,0.80052,0.33196,0.61086,0.44759,1.59406,2.64566,1.71278,1.36541,2.60163e-05,2.60163e-05,2.60163e-05
34,16.9857,1.0469,2.18032,1.23807,1.22862,0.83318,0.41667,0.74249,0.47934,0.80052,0.33196,0.61086,0.44759,1.59406,2.64566,1.71278,1.36541,2.64405e-05,2.64405e-05,2.64405e-05
35,17.4295,0.73848,1.7609,1.01592,1.07963,0.94435,0.36582,0.64854,0.41059,0.798,0.31931,0.51807,0.39379,1.5981,2.64606,1.74011,1.36883,2.68412e-05,2.68412e-05,2.68412e-05
36,17.8481,0.57221,2.44295,1.56583,1.08405,0.94435,0.36582,0.64854,0.41059,0.798,0.31931,0.51807,0.39379,1.5981,2.64606,1.74011,1.36883,2.72183e-05,2.72183e-05,2.72183e-05
37,18.2719,0.77662,2.01959,1.27759,1.1643,0.94148,0.36613,0.53214,0.32212,0.79733,0.3,0.40462,0.29191,1.61769,2.6531,1.77666,1.37517,2.75718e-05,2.75718e-05,2.75718e-05
38,19.5316,0.87052,2.27058,1.26122,1.11196,0.94148,0.36613,0.53214,0.32212,0.79733,0.3,0.40462,0.29191,1.61769,2.6531,1.77666,1.37517,2.79018e-05,2.79018e-05,2.79018e-05
39,19.9661,0.65604,1.75327,0.8984,0.97008,0.90936,0.38527,0.53347,0.3177,0.8382,0.30581,0.4057,0.28609,1.64242,2.64835,1.81868,1.38293,2.82082e-05,2.82082e-05,2.82082e-05
40,20.3576,0.95517,1.77064,1.20157,1.17373,0.90936,0.38527,0.53347,0.3177,0.8382,0.30581,0.4057,0.28609,1.64242,2.64835,1.81868,1.38293,2.84911e-05,2.84911e-05,2.84911e-05
41,20.8038,0.65893,1.79319,0.9079,1.01205,0.93908,0.36612,0.53394,0.31624,0.79263,0.3,0.4049,0.28685,1.65104,2.66045,1.83459,1.3897,2.87504e-05,2.87504e-05,2.87504e-05
42,21.3505,0.76131,2.08042,1.05485,1.06925,0.93908,0.36612,0.53394,0.31624,0.79263,0.3,0.4049,0.28685,1.65104,2.66045,1.83459,1.3897,2.89861e-05,2.89861e-05,2.89861e-05
43,21.7615,0.50964,1.59893,1.04328,1.01419,0.93585,0.36641,0.51992,0.29213,0.78993,0.3,0.39134,0.26809,1.66884,2.67727,1.87355,1.3955,2.91983e-05,2.91983e-05,2.91983e-05
44,22.1591,0.98685,2.82866,2.11797,1.24949,0.93585,0.36641,0.51992,0.29213,0.78993,0.3,0.39134,0.26809,1.66884,2.67727,1.87355,1.3955,2.93869e-05,2.93869e-05,2.93869e-05
