epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.66436,1.04065,2.7252,1.29036,0.60899,0.86361,0.88787,0.62222,1.39411,1.28957,1.24612,0,0,0
2,1.93645,1.24961,2.9658,1.61925,0.58901,0.88348,0.8878,0.61516,1.40314,1.30258,1.25182,7.973e-07,7.973e-07,7.973e-07
3,2.20941,1.30291,2.77076,1.56586,0.57212,0.87893,0.88812,0.60738,1.43117,1.32693,1.2641,8.092e-07,8.092e-07,8.092e-07
