epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.2,0.97683,9.67042,0.69544,0.82604,1.28205,0.94771,0.91934,0.97004,0.76104,0.30597,0.16286,0.06756,0.01094,0.86857,7.3809,0.58438,0.52049,1.12468,0.00333043,0.00333043,0.00333043
2,471.08,0.88764,7.27132,0.66205,0.62461,1.19343,0.88102,0.85495,0.93088,0.72505,0.65624,0.37301,0.30101,0.12747,0.92623,5.87803,0.49992,0.61686,1.1649,0.0065978,0.0065978,0.0065978
3,677.31,0.93619,6.54154,0.62291,0.67577,1.2144,0.88384,0.86683,0.93902,0.71498,0.835,0.48885,0.50624,0.2057,0.94363,4.95403,0.40253,0.67102,1.18354,0.00979916,0.00979916,0.00979916
4,883.044,0.97003,6.21176,0.56537,0.70976,1.22563,0.92238,0.92077,0.96735,0.76913,0.7262,0.52931,0.48771,0.26799,0.86257,4.45163,0.29614,0.5395,1.10738,0.009703,0.009703,0.009703
5,1098.17,0.9215,5.70077,0.50191,0.65571,1.19134,0.94417,0.93742,0.9755,0.79111,0.80126,0.59449,0.59668,0.35184,0.79663,3.82679,0.2281,0.48211,1.07199,0.009604,0.009604,0.009604
6,1298.77,0.89512,5.36685,0.45549,0.62428,1.17518,0.94301,0.9362,0.98006,0.80833,0.79639,0.63731,0.63573,0.38753,0.76222,3.65698,0.19263,0.43591,1.04034,0.009505,0.009505,0.009505
7,1512.37,0.86546,5.13241,0.42822,0.59821,1.15938,0.95317,0.94418,0.97982,0.81533,0.81094,0.65719,0.6749,0.42049,0.7609,3.48412,0.16546,0.44166,1.04331,0.009406,0.009406,0.009406
8,1718.07,0.84446,4.92818,0.40796,0.57468,1.14514,0.96244,0.95578,0.98576,0.8308,0.81424,0.69415,0.71241,0.45461,0.7006,3.20374,0.1309,0.40474,1.00971,0.009307,0.009307,0.009307
9,1911.44,0.82806,4.78175,0.39796,0.563,1.13817,0.94965,0.93909,0.98241,0.83179,0.82601,0.69632,0.71325,0.49193,0.69347,3.01974,0.12868,0.40416,0.99295,0.009208,0.009208,0.009208
10,2094.74,0.81215,4.59225,0.38688,0.55145,1.1282,0.95904,0.96126,0.98638,0.83651,0.80673,0.71798,0.70642,0.47708,0.69541,3.01882,0.11856,0.37795,0.998,0.009109,0.009109,0.009109
11,2267.49,0.80649,4.48905,0.37756,0.54159,1.12265,0.95673,0.95846,0.98373,0.83651,0.83048,0.69112,0.70052,0.4853,0.67929,2.99559,0.11575,0.39269,0.99251,0.00901,0.00901,0.00901
12,2439.89,0.79305,4.38017,0.3709,0.53116,1.11862,0.96376,0.96687,0.98783,0.85001,0.83007,0.72835,0.74369,0.52895,0.65336,2.80126,0.09365,0.35664,0.97979,0.008911,0.008911,0.008911
13,2612.2,0.7835,4.28825,0.37053,0.52347,1.11577,0.96052,0.96436,0.98749,0.85062,0.8294,0.74223,0.76201,0.55837,0.65849,2.66905,0.09556,0.36001,0.98151,0.008812,0.008812,0.008812
14,2784.65,0.77982,4.2359,0.35664,0.51666,1.1107,0.96387,0.96544,0.98821,0.85284,0.83182,0.74984,0.76931,0.57056,0.65281,2.57637,0.09468,0.35464,0.97366,0.008713,0.008713,0.008713
15,2963.44,0.76364,4.14582,0.35469,0.50981,1.1046,0.96241,0.96674,0.98776,0.85764,0.82425,0.73994,0.75026,0.56367,0.63902,2.585,0.09441,0.35011,0.9654,0.008614,0.008614,0.008614
16,3145.47,0.75581,4.04737,0.34789,0.49991,1.09796,0.96475,0.96249,0.98749,0.85852,0.82549,0.74487,0.75567,0.57347,0.6288,2.49723,0.08531,0.34604,0.95996,0.008515,0.008515,0.008515
17,3319.34,0.75244,4.01386,0.34474,0.49953,1.09613,0.96591,0.96419,0.98831,0.86077,0.82424,0.76973,0.7752,0.5886,0.62572,2.45113,0.07819,0.33867,0.9546,0.008416,0.008416,0.008416
18,3491.44,0.75583,3.97045,0.33951,0.49811,1.09683,0.96731,0.96865,0.98879,0.86504,0.81998,0.77061,0.77489,0.59811,0.62419,2.43889,0.08059,0.33359,0.96258,0.008317,0.008317,0.008317
19,3663.62,0.74395,3.93657,0.33672,0.48927,1.09216,0.97062,0.96825,0.98905,0.86785,0.83695,0.76424,0.77938,0.60142,0.61633,2.41532,0.07354,0.32847,0.95472,0.008218,0.008218,0.008218
20,3836.05,0.7445,3.87455,0.33489,0.48412,1.08959,0.9661,0.9698,0.98934,0.87356,0.82607,0.77715,0.77938,0.60563,0.60144,2.38567,0.07695,0.32213,0.94105,0.008119,0.008119,0.008119
21,4008.58,0.73546,3.83001,0.3282,0.4804,1.08226,0.96704,0.97217,0.98908,0.87079,0.83056,0.7817,0.78065,0.60898,0.60106,2.33789,0.07873,0.31903,0.94111,0.00802,0.00802,0.00802
22,4181.15,0.73261,3.78273,0.3262,0.47285,1.0838,0.96281,0.96991,0.98857,0.87136,0.83621,0.7766,0.78024,0.61194,0.60085,2.31302,0.07352,0.31979,0.94228,0.007921,0.007921,0.007921
23,4353.59,0.72543,3.73916,0.3203,0.46967,1.07624,0.97144,0.97106,0.98932,0.87572,0.83284,0.78336,0.78795,0.62842,0.59472,2.31378,0.07452,0.31431,0.93933,0.007822,0.007822,0.007822
