epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.26192,1.7575,3.68033,1.40876,0.00862,0.05556,0.00848,0.00463,2.19818,3.54412,1.10022,0,0,0
2,1.7099,1.81627,3.69777,1.39372,0.00877,0.05556,0.01836,0.00613,2.17206,3.52649,1.09958,1.37241e-05,1.37241e-05,1.37241e-05
3,2.23888,1.59841,3.73571,1.29934,0.00867,0.05556,0.02297,0.00708,2.13249,3.50511,1.09871,2.63165e-05,2.63165e-05,2.63165e-05
4,2.75554,1.96863,3.7896,1.38709,0.00852,0.05556,0.02106,0.00743,2.09969,3.48801,1.08569,3.7777e-05,3.7777e-05,3.7777e-05
5,3.35556,1.69057,3.63854,1.29918,0.00833,0.05556,0.024,0.00814,2.05734,3.46683,1.08236,4.81059e-05,4.81059e-05,4.81059e-05
6,3.88708,1.75715,3.76879,1.32253,0.00789,0.05556,0.02454,0.00842,2.04069,3.43257,1.09913,5.73029e-05,5.73029e-05,5.73029e-05
7,4.44755,1.36314,3.50597,1.25997,0.00798,0.05556,0.01729,0.01319,2.02449,3.46716,1.08703,6.53682e-05,6.53682e-05,6.53682e-05
8,5.06558,1.58554,3.49828,1.21532,0.00802,0.05556,0.02973,0.01372,2.01571,3.46356,1.08494,7.23017e-05,7.23017e-05,7.23017e-05
9,5.58459,1.56363,3.4603,1.28052,0.00789,0.05556,0.02096,0.01532,2.05182,3.46788,1.11589,7.81034e-05,7.81034e-05,7.81034e-05
10,7.84247,1.74522,3.50633,1.16965,0.00811,0.05556,0.02185,0.0141,2.10522,3.4503,1.16881,8.27734e-05,8.27734e-05,8.27734e-05
11,8.57477,1.64773,3.33992,1.21484,0.00806,0.05556,0.02999,0.02087,2.18779,3.46565,1.19911,8.63116e-05,8.63116e-05,8.63116e-05
12,9.12241,1.57061,3.22611,1.23219,0.00794,0.05556,0.03233,0.0218,2.23749,3.47057,1.22019,8.8718e-05,8.8718e-05,8.8718e-05
13,9.66166,1.48054,2.99598,1.33925,0.00785,0.05556,0.03212,0.02136,2.21719,3.45411,1.24369,8.99927e-05,8.99927e-05,8.99927e-05
14,10.1542,1.40021,2.89556,1.12871,0.00781,0.05556,0.0321,0.0189,2.1925,3.42884,1.25824,9.01356e-05,9.01356e-05,9.01356e-05
15,10.888,1.56522,2.89445,1.21092,0.00761,0.05556,0.03238,0.01852,2.23668,3.42651,1.26713,8.91467e-05,8.91467e-05,8.91467e-05
16,13.5197,1.59877,2.75534,1.18929,0.00761,0.05556,0.03285,0.01862,2.27912,3.42389,1.27102,8.70261e-05,8.70261e-05,8.70261e-05
17,15.4531,1.48967,2.5061,1.15847,0.00735,0.05556,0.03227,0.01804,2.28971,3.40882,1.26413,8.37737e-05,8.37737e-05,8.37737e-05
18,17.1338,1.46418,2.4618,1.04746,0.00735,0.05556,0.03227,0.01804,2.28971,3.40882,1.26413,7.93895e-05,7.93895e-05,7.93895e-05
19,18.492,1.47417,2.36259,1.08261,0.00728,0.05556,0.03471,0.01992,2.27005,3.39018,1.26643,7.38736e-05,7.38736e-05,7.38736e-05
20,18.9252,1.37661,2.16788,1.11383,0.00728,0.05556,0.03471,0.01992,2.27005,3.39018,1.26643,6.72259e-05,6.72259e-05,6.72259e-05
21,19.3915,1.45501,2.34249,1.0941,0.00728,0.05556,0.04004,0.02327,2.2746,3.37313,1.26501,5.94464e-05,5.94464e-05,5.94464e-05
22,19.8132,1.56234,2.32583,1.08972,0.00728,0.05556,0.04004,0.02327,2.2746,3.37313,1.26501,5.05352e-05,5.05352e-05,5.05352e-05
23,20.283,1.44948,2.30256,1.10388,0.00725,0.05556,0.04003,0.02326,2.23598,3.35876,1.23942,4.04921e-05,4.04921e-05,4.04921e-05
24,20.7195,1.40637,2.20875,1.05536,0.00725,0.05556,0.04003,0.02326,2.23598,3.35876,1.23942,2.93174e-05,2.93174e-05,2.93174e-05
25,21.2022,1.306,2.12866,1.04086,0.00735,0.05556,0.04007,0.02308,2.21018,3.36858,1.23318,1.70108e-05,1.70108e-05,1.70108e-05
