epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.96651,1.64032,3.67964,1.29912,0.00882,0.10714,0.03209,0.01876,1.69892,3.24605,1.02827,0,0,0
2,1.34776,1.7555,3.84437,1.42324,0.00904,0.10714,0.05328,0.03373,1.69829,3.232,1.02894,1.37241e-05,1.37241e-05,1.37241e-05
3,1.75773,1.81084,3.83316,1.28952,0.00888,0.10714,0.03442,0.02062,1.64883,3.2072,1.0258,2.63165e-05,2.63165e-05,2.63165e-05
4,2.2087,1.50512,3.84137,1.18657,0.00877,0.10714,0.03132,0.02093,1.59457,3.21498,1.01775,3.7777e-05,3.7777e-05,3.7777e-05
5,2.63219,1.64492,3.70968,1.31018,0.00877,0.10714,0.05092,0.03632,1.58254,3.20554,1.03883,4.81059e-05,4.81059e-05,4.81059e-05
6,3.07777,1.39592,3.7067,1.31007,0.00904,0.10714,0.03604,0.02345,1.5671,3.19418,1.03524,5.73029e-05,5.73029e-05,5.73029e-05
7,3.51679,1.29961,3.6301,1.35935,0.00882,0.10714,0.05563,0.03803,1.64535,3.21072,1.05165,6.53682e-05,6.53682e-05,6.53682e-05
8,3.96117,1.54957,3.45843,1.39101,0.00872,0.10714,0.0616,0.03936,1.71552,3.21765,1.11755,7.23017e-05,7.23017e-05,7.23017e-05
9,4.40216,1.57635,3.50255,1.27655,0.00915,0.10714,0.06159,0.04111,1.68076,3.22396,1.11524,7.81034e-05,7.81034e-05,7.81034e-05
10,4.84753,1.32335,3.512,1.04642,0.00888,0.10714,0.06176,0.04179,1.60661,3.22071,1.07118,8.27734e-05,8.27734e-05,8.27734e-05
11,5.29233,1.52206,3.34166,1.16596,0.00862,0.10714,0.06213,0.04108,1.53661,3.20437,1.06059,8.63116e-05,8.63116e-05,8.63116e-05
12,5.70702,1.509,3.22889,1.19777,0.00843,0.10714,0.06939,0.04489,1.50633,3.19301,1.05224,8.8718e-05,8.8718e-05,8.8718e-05
13,6.30837,1.29925,3.03479,1.15466,0.01108,0.27381,0.11269,0.05175,1.49285,3.16338,1.0727,8.99927e-05,8.99927e-05,8.99927e-05
14,6.76235,1.39855,3.10039,1.10766,0.01119,0.27381,0.15002,0.05518,1.55119,3.15296,1.11602,9.01356e-05,9.01356e-05,9.01356e-05
15,7.22502,1.42527,2.88383,1.11503,0.01091,0.27381,0.1499,0.05669,1.57012,3.13948,1.13901,8.91467e-05,8.91467e-05,8.91467e-05
16,8.93291,1.56673,2.93104,1.14212,0.01101,0.27381,0.16969,0.0589,1.54984,3.14371,1.12359,8.70261e-05,8.70261e-05,8.70261e-05
17,9.68414,1.55064,2.64744,1.1453,0.01094,0.27381,0.23619,0.06603,1.54376,3.14393,1.12917,8.37737e-05,8.37737e-05,8.37737e-05
18,10.1313,1.50457,2.56247,1.15746,0.01094,0.27381,0.23619,0.06603,1.54376,3.14393,1.12917,7.93895e-05,7.93895e-05,7.93895e-05
19,10.5821,1.41494,2.42013,1.07764,0.01083,0.27381,0.23903,0.06638,1.51449,3.13181,1.1118,7.38736e-05,7.38736e-05,7.38736e-05
20,10.9988,1.45826,2.37724,1.03511,0.01083,0.27381,0.23903,0.06638,1.51449,3.13181,1.1118,6.72259e-05,6.72259e-05,6.72259e-05
21,11.4143,1.50295,2.36998,1.12331,0.0106,0.27381,0.23895,0.0649,1.51607,3.10988,1.10662,5.94464e-05,5.94464e-05,5.94464e-05
22,11.8051,1.45908,2.34081,1.07811,0.0106,0.27381,0.23895,0.0649,1.51607,3.10988,1.10662,5.05352e-05,5.05352e-05,5.05352e-05
23,12.2176,1.43752,2.28606,1.09243,0.01057,0.27381,0.24394,0.06641,1.51422,3.1048,1.09798,4.04921e-05,4.04921e-05,4.04921e-05
24,12.6263,1.45233,2.22337,1.04126,0.01057,0.27381,0.24394,0.06641,1.51422,3.1048,1.09798,2.93174e-05,2.93174e-05,2.93174e-05
25,13.0382,1.42087,2.21709,1.07468,0.01077,0.27381,0.17776,0.06104,1.4926,3.08141,1.1048,1.70108e-05,1.70108e-05,1.70108e-05
