epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4458,1.54511,3.86963,1.28903,0.01004,0.4362,0.05818,0.02994,1.45394,3.77122,1.17323,0.00024543,0.00024543,0.00024543
2,32.8809,1.60297,2.66518,1.27182,0.52846,0.04721,0.20196,0.10727,1.57928,3.17955,1.28608,0.000480152,0.000480152,0.000480152
3,38.1256,1.58346,2.2419,1.2658,0.36567,0.26848,0.25905,0.13627,1.63761,2.70785,1.31377,0.000694716,0.000694716,0.000694716
4,43.4779,1.58942,2.02005,1.26581,0.34123,0.39284,0.32359,0.17717,1.61485,2.26119,1.28124,0.000801011,0.000801011,0.000801011
5,49.0516,1.53851,1.8757,1.23998,0.32934,0.39671,0.34514,0.19156,1.65264,1.92724,1.30992,0.000765014,0.000765014,0.000765014
6,54.5525,1.51133,1.75515,1.22163,0.46559,0.47741,0.46447,0.24206,1.58375,1.67208,1.27393,0.000729018,0.000729018,0.000729018
7,59.7553,1.49517,1.70724,1.22578,0.50258,0.3948,0.45544,0.24296,1.56478,1.81249,1.29563,0.000693022,0.000693022,0.000693022
8,64.9681,1.44433,1.64163,1.19923,0.59753,0.52398,0.55442,0.29847,1.56422,1.601,1.26719,0.000657025,0.000657025,0.000657025
9,70.435,1.42117,1.52768,1.21078,0.65814,0.564,0.60942,0.35349,1.51856,1.42202,1.23892,0.000621029,0.000621029,0.000621029
10,76.4615,1.39258,1.44374,1.15841,0.65433,0.56232,0.59614,0.32623,1.53515,1.43451,1.25506,0.000585032,0.000585032,0.000585032
11,81.6146,1.39076,1.42629,1.16869,0.67946,0.6419,0.66387,0.37485,1.52728,1.31049,1.27182,0.000549036,0.000549036,0.000549036
12,86.9653,1.35879,1.38082,1.15902,0.72478,0.61267,0.65158,0.36621,1.51871,1.31062,1.27529,0.00051304,0.00051304,0.00051304
13,93.1887,1.32498,1.32259,1.14624,0.6809,0.57336,0.60916,0.35241,1.50444,1.37396,1.26357,0.000477043,0.000477043,0.000477043
14,98.4789,1.34836,1.31995,1.16287,0.70846,0.65126,0.6946,0.4165,1.47904,1.23362,1.23175,0.000441047,0.000441047,0.000441047
15,103.757,1.3251,1.28613,1.14921,0.7386,0.59981,0.67445,0.39221,1.49087,1.27211,1.24619,0.00040505,0.00040505,0.00040505
16,111.379,1.32335,1.40644,1.14517,0.73503,0.5934,0.67801,0.39644,1.50906,1.35736,1.24145,0.000369054,0.000369054,0.000369054
17,116.699,1.28355,1.28337,1.12548,0.65296,0.63885,0.65187,0.37632,1.4985,1.28806,1.24846,0.000333058,0.000333058,0.000333058
18,122.008,1.26392,1.23026,1.11384,0.80046,0.63139,0.71675,0.43056,1.44987,1.16101,1.22389,0.000297061,0.000297061,0.000297061
19,127.294,1.26404,1.186,1.11413,0.78898,0.6354,0.7079,0.42596,1.46962,1.18625,1.21894,0.000261065,0.000261065,0.000261065
20,132.475,1.24431,1.17217,1.10074,0.75107,0.64185,0.70412,0.42449,1.45391,1.16106,1.2181,0.000225068,0.000225068,0.000225068
21,137.747,1.23018,1.1359,1.10053,0.74635,0.66872,0.71668,0.43128,1.44984,1.15174,1.21922,0.000189072,0.000189072,0.000189072
22,142.936,1.2221,1.10154,1.07623,0.76737,0.65678,0.71364,0.43689,1.46187,1.12992,1.21765,0.000153076,0.000153076,0.000153076
23,148.037,1.19577,1.07645,1.07808,0.77105,0.69324,0.73847,0.45164,1.44196,1.09313,1.2128,0.000117079,0.000117079,0.000117079
24,153.136,1.19327,1.06748,1.08,0.76191,0.6839,0.74126,0.45078,1.43879,1.08249,1.21009,8.10828e-05,8.10828e-05,8.10828e-05
25,158.217,1.17703,1.0604,1.06847,0.75971,0.69625,0.7484,0.45198,1.4278,1.07831,1.20248,4.50864e-05,4.50864e-05,4.50864e-05
