epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.1117,0.54773,0.98656,1,0.08231,0.000473319,0.000473319,0.000473319
2,24.282,0.07821,0.95968,1,0.12642,0.000636267,0.000636267,0.000636267
3,30.5144,0.05545,0.96774,1,0.07326,0.000484835,0.000484835,0.000484835
