epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.18506,1.18756,2.83615,1.44548,0.66127,0.83499,0.88779,0.62411,1.39495,1.26027,1.24916,0,0,0
2,1.46422,0.90452,1.95103,1.23158,0.65949,0.84023,0.88797,0.60917,1.4146,1.26328,1.25682,1.07219e-06,1.07219e-06,1.07219e-06
3,1.77299,0.9032,2.11346,1.30395,0.63515,0.83333,0.87412,0.61065,1.45352,1.29219,1.26643,1.90876e-06,1.90876e-06,1.90876e-06
4,2.22068,0.91432,2.41426,1.36599,0.62706,0.83333,0.8743,0.62897,1.48065,1.32399,1.27412,2.50971e-06,2.50971e-06,2.50971e-06
5,2.57516,0.9169,2.61363,1.33273,0.61636,0.83333,0.87441,0.6224,1.49677,1.36503,1.2746,2.87504e-06,2.87504e-06,2.87504e-06
6,3.32707,0.82865,2.03441,1.21124,0.64081,0.83333,0.87841,0.61802,1.50908,1.39611,1.28238,3.00475e-06,3.00475e-06,3.00475e-06
7,3.69929,1.01364,2.13323,1.30875,0.67563,0.75,0.8932,0.62238,1.51263,1.43686,1.283,2.89884e-06,2.89884e-06,2.89884e-06
8,4.08233,0.71142,1.99204,1.23656,0.6352,0.75,0.89237,0.61852,1.52875,1.48398,1.29789,2.55731e-06,2.55731e-06,2.55731e-06
9,4.46839,0.90422,1.70339,1.30082,0.90322,0.56667,0.83732,0.60091,1.52682,1.5331,1.30672,1.98016e-06,1.98016e-06,1.98016e-06
10,4.86285,0.89531,1.93515,1.27303,0.89291,0.56667,0.79031,0.59947,1.51836,1.53653,1.30932,1.16739e-06,1.16739e-06,1.16739e-06
